,name,contents
5492,덩더렁-마깨,짚 두드리개
5522,덩더렁-마깨,짚 두드리개
1075,덩더렁-우영,"""덩더렁
 은 짚이나 대를 다루기 위한 둥그런 돌이다. 덩더렁으로 이루어진 텃밭""
"
5520,덩드렁,⇒덩돌
5490,덩드렁,⇒덩돌
3424,덩드렁-마께,짚방망이
1361,덩드렁마께,"짚을 두드리는 방망이
"
3308,덩체기,#NAME?
3307,덩치,⇒덩체기
3306,덩케기,⇒덩치
6031,덮개,더퍼리
4016,데가리,⇒다가리
2335,데갑,대신 갚음
2334,데갑-질,대신 갚는 일
5036,데낄-락,팔매질. 던지기
2333,데답,대답(對答)
606,데령호다,어른에게 드리다.
4015,데맹-이,⇒대망생이
605,데미다,물건을 쌓다.
2332,데반,팔밀이
177,데번에,뎁번에. 한번에
2331,데서,대서(代書)
2330,데씀-질,뒤집개질
604,데우다,식은 것을 슬쩍 삶아 뜨겁게 하다.
603,데우치다,데치다.
2329,데위,대우. 대접
4014,덴-그르,덴둥이
2323,뎁보,뻥(噓)
3305,뎅가리,#NAME?
176,뎅강,묵직한 것이 자빠지는 꼴
3304,뎅구리,⇒뎅가리
2322,뎅침,당침
2321,도,어구(出入口)
5907,도-사리,⇒더사리
2291,도-살이,⇒더살이
882,도-틀-왓,"길이 트인 밭
"
2313,도-환셍,살아남
3754,도갓-집,두렛일을 주장하는 집
5484,도고리,#NAME?
5515,도고리,#NAME?
832,도고리-왓,"도고리는 소나 돼지의 여물통으로 도고리를 만들어주고 얻은 밭
"
5107,도곰,#NAME?
5514,도구리,⇒도고리
5483,도구리,⇒도고리
1122,도구리물,"근방의 갯바위가 함지박을 닮았다 하여 연유한 이름
"
5519,도께,도리깨
5489,도께,도리깨
5518,도께-아돌,도리깨 아들
5488,도께-아돌,도리깨 아들
5487,도께-아시,도리깨 동생
5517,도께-아시,도리깨 동생
5486,도께-어시,도리깻대
5516,도께-어시,도리깻대
6392,도껭이,#NAME?
5485,도꼐,⇒가마( 轎)
3303,도꼬리,#NAME?
5685,도꼬마리,도토마리
6391,도꾕이,⇒도껭이
5482,도끼,⇒도꼐
5513,도끼,⇒도꼐
2928,도난-나록,돌벼. 자생벼(自生
2926,도난-모멀,자생모밀
2927,도난-조,자생조(自生粟)
968,도너리오름,"어귀(도)가 널찍하여 유래
"
1049,도네기물통,"밀물때면 이곳에서도 물이 솟는다 하여 붙여진 이름
"
3302,도데-쿨,등대풀. ‘도데’는 일본어 totai에서 온 것
2320,도독,도둑
922,도들오름,"도드라진 모습이 예쁘다 하여 연유함
"
4691,도라미," =도람쥐. 박쥐
"
4690,도람쥐,⇒도라미
2765,도래,①다래. ②면화 송이
3287,도래-낭,다래나무
4717,도랭이-빙,#NAME?
6317,도량,#NAME?
5512,도레기," =도로기. ①바퀴. ②동그랑이.
"
5481,도레기," =도로기. ①바퀴. ②동그랑이.
"
2319,도레미탐불,도루아미타불
4528,도렝이," =도롱이. 괭이상어. 충남 서산에서는 ‘씬도롱’. ‘단도롱’이라고 함
"
5122,도로," =도로갱이 =돌랭이. 다랑이. 작은 밭. 밭을 세는 말
"
5102,도로갱이,⇒도로
5480,도로기,⇒도레기
5511,도로기,⇒도레기
4950,도롱-춤,어깨춤
4439,도롱이,⇒도렝이
4716,도롱이-빙,⇒도랭이빙
4809,도롱태,새매의 한가지
2292,도리,다리
4013,도리-버짐,#NAME?
588,도리다¹," 쫓다, 몰다."
1388,도리장,소나 말을 방목하던 곳으로 국마장에 제외된 곳
5758,도복,도포
2318,도비,도배
6029,도비-상귀,도붓장수
2317,도빗-짐,행상보퉁이
4715,도새기,#NAME?
5510,도실기,도시락
5479,도실기,도시락
5509,도실기-착,도시락짝
5478,도실기-착,도시락짝
602,도왜다,돕다.
5477,도육,가락에 꿰는 구슬
5508,도육,가락에 꿰는 구슬
3301,도육-남,느릅나무
2316,도임상,도임할 때 드리는 상(到任床)
2315,도장-밥,인주(印朱)
6390,도지,초겨울의 산바람
6362,도지-주제,갑자기 이는 초 겨울 산바람
6389,도지-주제,갑자기 이는 초겨울 산바람
3753,도쩔귀,#NAME?
787,도채비-골,"가축의 뼈 등이 습도가 높은 날 밤에 인광이 나타나므로 도깨비가 나타나는 지역으로 불림
"
1284,도채비방쉬,"무속의 일종으로 그 해 운수가 나쁘다고 판단이 내린 사람이 그 사람 모습대로 허수아비를 만들어 액막이를 하는 것을 말한다.
"
2314,도체비,도깨비. 도깨비불
2769,도체비-고장,산수국
5476,도치,#NAME?
5507,도치,#NAME?
587,도투다,다투다.
4011,독,#NAME?
4010,독-머리,⇒독
4008,독-무럽,⇒독
5475,독-사발,질그릇 사발
5506,독-사발,질그릇 사발
874,독-통,"닭이 알을 품은 형세
"
1182,독게-통,"""독게
 는 왕새우을 뜻함, 독게가 많이 서식하는 곳""
"
4468,독다구리2,큰 메뚜기
4009,독머리-꽝,#NAME?
5474,독석,⇒덕석
5505,독석,⇒덕석
3445,돈-물,민물
367,돈돈호다¹,매우 달다.
169,돈돈히,단단히
1173,돈물-깍,"단물이 바다 끝에서 나오는 곳
"
4525,돈물-복쟁이,민물에도 있는 복의 한가지(먹지못함)
4509,돈물복쟁이,민물에 있는 복
1148,돈입물,"산이수동 돈입 바닷가에 있다 하여 붙여진 이름
"
6316,돈지,군대가 주둔하는 곳 (屯地)
1282,돈짓당,"어부,해녀,어선 등 해상의 일들을 관장하여 수호하는 신을 섬기는 당
"
3994,돋는-거,단독(丹毒)
586,돋이다," 닫다, 때리다."
2290,돌,⇒덜
5751,돌," =신-돌. 들메끈
"
6386,돌-님,다님
6385,돌-머리,⇒돌갓
4949,돌-방,연 가운데에 있는 달 모양의 둥근 구멍 또는 연 머리에 붙이는 둥근 종이
5413,돌-방에,돌 절구
5472,돌-방에,#NAME?
5471,돌-뱅이,⇒돌방에
