,name,contents
2534,타발,좋다 나쁘다 말하는 것
1402,타호,"침을 뱉어 놓는 그릇의 일종
"
2708,탈,딸기
3462,탕수,#NAME?
3461,탕쉬,⇒탕수
3806,태두,⇒두테
4907,태상-백이,이마 흰 소 (額白牛)
5700,태양,모자 차양
921,태역장오리,"잔디(테역)밭이 넓게 있어 연유함
"
5271,태왈,눈 위를 걸을 때 발에 끼우는 기구
4961,태작,타작
2707,탱우지,⇒개살구
3460,터리괴,떡 이름
761,터우개,"떼배를 정박하던 곳
"
2533,턱-사가리,턱(理由)
5698,털-벌립,소털로 만든 벙거지
5175,털-채,떨채
5699,털렝이,절치
687,털북새기,"털북숭이. 털보
"
1733,털쎄,남의 지위를 배경으로 하는 것
410,털어지다,떨어지다.
5270,텅에,#NAME?
2532,테,①때(垢). ②떼(群). ③떼(筏)
3017,테,떼. 흙을 붙여 떠낸 잔디
5174,테,#NAME?
1730,테도리,바위
3016,테역,⇒잔뒤역
3015,테역-단풍,금잔디
6222,테역-번데기,잔디. 펀더기
869,테우리-통,"소 먹이는 테우리가 망을 보던 곳
"
1019,테우리동산물,"근처의 동산에서 백중제를 지낸데서 유래한 이름
"
686,텟도독,"떼도적
"
3014,토란,도라지
2530,토액,토악질
4830,토주관,마을 수호신
1415,톡생이,지형이 달걀모양처럼 생긴곳
5049,톨,타줄
6221,톨,섶과 바위가 얼크러진곳. 떨기
2526,톨고지," =톨구지 딸꾹질
"
1726,톨구지,⇒톨고지
235,톨아지다,비뚤어지다.
2525,톨이래,타래
1725,톨팔,맨 몸. 아무것도 안 가진 몸
1729,톱-고루,톱밥
1680,톳헤치,토끼띠(卯年生)
2529,통-괴염,짐승 따위를 전체로 삶는 것
985,통바금물,"냇물이 고이는 곳이 우물(통)처럼 생겨서 붙여진 이름
"
5269,통쇠,자물쇠
3613,통쉬,⇒돗통
3612,통시,⇒통쉬
982,통오름,"물통, 밥통 등의 통처럼 생겼다 하여 붙여진 이름
"
3611,퇴기,외(棟)
5173,퇴기,⇒치2
4906,퇴께,#NAME?
4556,퇴끼,⇒퇴께
5268,퇴악,⇒뒤영박
3013,퇴역,⇒잔뒤역
3610,투,벽 위쪽 물건을 올려 두는 곳
5172,퉁,⇒텅에
1728,퉁-돌아니,퉁으로 만든 인상(人像)
2528,퉁-부체,퉁부처. 퉁으로 만든 불상
5267,퉁에,⇒텅에
236,퉁퉁호다,뚱뚱하다.
5009,튐-질,뜀질
409,트다 ²,발에 티눈이 생기다.
1727,트멍,⇒어이
3010,틀-낭,산딸기 나무
1209,틀낭,산딸나무
2527,틈-바기,틈. 기회
4256,티,⇒버렝이2
3459,팃-물,쌀 뜨물
