,name,contents
958,초낭오름,"상수리나무(초낭)이 있어 유래함
"
1743,칸-내,단내
6227,케,⇒도량
414,케다¹,캐다.
413,케우다,태우다.
2710,켄-밤,아람
2543,코,①고. ②기회
3820,코-대,#NAME?
3819,코-멜색이,#NAME?
5274,코-박새기,조롱박
5178,코-사발,코 달린 사발
3818,코-페렝이,#NAME?
3817,코-펭챙이,⇒코멜색이
3816,코-푸렝이,⇒코페렝이
3815,코-핀작,⇒코푸렝이
5276,코1,①고. ②기회
5180,코2,#NAME?
5275,코끌래기,⇒코2
5179,코끼,⇒코2
1399,코동이,"경조사에서 밥을 담거나 탁주를 나눠 마실 때 사용
"
1742,코막은-소리,콧소리
238,코소롱호다,<쿠수룽호다. 고소하다<구수하다.
4831,코시,고사(告祀)
2542,코재비,버선 신발 따위의 앞쪽이 뾰족하게 나온 것
1741,코쟁이,끝이 뾰죽한 것
6226,코지,곶(岬)
2541,코지,①앞으로 뾰죽 나온 것. ②곶(岬)
1022,코지산물,"근처에 사람 코의 형상의 바위가 있다 하여 붙여진 이름
"
4486,코토대기,담치. 껍질은 검고 두 장임
1414,코허벅,"허벅이나 방춘이에는 손잡이가 없는데 손잡이를 붙이면 코라는 명칭을 붙임
"
697,코홀채기,"코흘리개
"
3814,콥,①눈꼽자기. ②소기름. ③톱(爪)
4558,콥,①쇠기름. ②톱(爪)
2795,콥-대사니,⇒곱대사니
2539,콥재기,꼽자기
3809,콧-대,⇒코대
3808,콧-짐,콧김
810,콧-쿰,"구멍이 마치 콧구멍처럼 두개 뚫려 있는 지형 
"
2853,콩-깍물,#NAME?
2852,콩-깍지,⇒콩각매기
2851,콩-꺽죽,⇒콩각매기
2850,콩-꼬질,⇒콩각매기
2849,콩-주셍이,#NAME?
2848,콩-주시,⇒콩주셍이
2794,콩-지름,#NAME?
3464,콩-지이,콩자반
2793,콩-질룸,⇒콩지룸
2847,콩-착,짜개
2709,콩-탈,딸기의 한가지. 빛이 검음
1321,콩풀,개불알풀
3022,콱향,쥐오줌풀
5701,쾌지,쾌자
4908,쾨끼리,#NAME?
4557,쾨키리,⇒쾨끼리
3021,쿤지-쿨,⇒쇠
3020,쿨,풀(草)
6225,쿨헝,#NAME?
6224,쿨헝지,⇒굴헝
6223,쿨헹이,⇒굴헝
1738,쿰,①삯. ②품(懷)
2537,쿰-갚음,품갚음
1737,쿰일,삯일
3019,쿳가시-낭,⇒긋가시낭
1339,쿳가시낭,꾸지뽕나무
3807,퀴눈-이,티눈
3018,큇-낭,"⇒쿳가시낭
"
887,큰-가름,"마을 안에 또하나의 큰마을을 이룬 것
"
6007,큰-말젯년,네 딸중 세째
5899,큰-말젯놈,네놈중 세째 놈
779,큰-속동-개-코지,"큰 파도가 코지로 치면 속돌이 많이 올라온다. 
"
1736,큰-양,#NAME?
2536,큰-집,큰댁(伯父宅)
1735,큰-체,⇒큰양
3796,큰-한집,마마
1018,큰개물,"마을의 중심이 되는 큰 포구가 있는 곳에 있어 유래한 이름
"
696,큰누이,"맏누이
"
916,큰드레오름,"큰 들(큰드레)에 있다 하여 연유함
"
695,큰똘,"맏딸
"
23,큰말젯,다섯 중 셋째의 인륜 관계
22,큰말젯 사위,다섯 중 셋째 사위
21,큰말젯 상제,다섯 중 셋째 상제
1382,큰메,"쇠로 된 무거운 망치
"
694,큰메누리,"맏며누리
"
1030,큰물,"수량이 풍부하고 큰 샘이라는데서 유래한 이름
"
974,큰물뫼,"원래 물뫼(물미)라 했던것이 동쪽의 족은물뫼와 구별하여 큰쿨뫼라 하게 됨
"
693,큰사위,"맏사위
"
1131,큰산물,"수량이 풍부한 생수라 하여 붙여진 이름
"
692,큰삼춘,"큰-아방. 백부
"
1128,큰서림물,"제주 서쪽에 자리잡은 숲속 샘이라 하여 붙여진 이름
"
691,큰성,"맏형님
"
690,큰아돌,"맏아들
"
689,큰아방,"큰삼춘
"
688,큰어멍,"백모
"
237,큰큰호다,매우 크다.
5177,클,틀
3614,클-방,기곗방
2535,클-삭,기겟삯. 틀삯
1734,클-일,기곗일
412,클러지다," 끌러지다, 풀어지다."
411,클르다," 끄르다, 풀다."
