,name,contents
4697,아강-발,발통
4609,아강-발,돼지발통
3887,아공이,#NAME?
3886,아구리,#NAME?
3885,아굼지,⇒아구리
3884,아궁이,⇒아공이
3883,아궁이-상,주걱상
5934,아기,애기
302,아깝다,귀엽다.
6257,아끈죄기,제주도 북부에서는 음력 매달 7일과 22일. 남부에서는 6일과 21일의 조수인데 남부 지방의 말이다. 북부에서는 ‘열서물’이라고 함
728,아낭-거리,"아왜나무가 많은 거리
"
301,아노록호다,아녹호다=아도록호다. 아늑하다.
2006,아늠,아름
300,아니꼽상스럽다,지나치게 아니꼽다.
5828,아돌,아우. 동생
3882,아랫-도리,종아리. 정강이
5327,아리,⇒낚시아리
2005,아망-조망,#NAME?
119,아며나," 아명이나=아미영이나. 아무러나, 아무렇게나"
118,아며도," 아명해도=아미영해도. 암만해도, 아무렇게 해도"
117,아명,아미영. 아무렇게
6153,아모-제,아무 때
5933,아바-님,아버님. 부름에 씀
5827,아방,아버지
944,아부오름,"앞 오름에서 아부오름으로 변형
"
5932,아시,아우. 동생
6152,아시-날,그전 날 (前日)
6151,아시-돌,그전 달 (前月)
6150,아시-헤,그전 해 (前年)
2004,아연,무엇을 달라고 부르짖음
3881,아옴-내,암내
2003,아외,어린애 거동의 한가지
4411,아우생이,⇒구셍이
5826,아이-년,계집애를 얕잡은 말
12,아이구기여,아이고 아프다'의 뜻을 나타내는 말
2002,아쟁이,앙금. 해감. 물속에 흙과 유기물질이 썩어 생기는 악취나 지끼
6149,아적,#NAME?
5931,아주마님,#NAME?
5825,아주망,#NAME?
5930,아주바님,#NAME?
5824,아주방,#NAME?
5929,아지마님,⇒아주마님
5823,아지망,⇒아주망
5928,아지바님,⇒아주바님
5822,아지방,⇒아주방
2880,아진-대죽,수수의 한가지 (대가 짧은 것)
5927,아진-배기,앉은뱅이
2931,아진대죽,수수의 한가지
5347,아진배기-저울,발달린 저울
943,아진오름,"두 다리를 벌리고 앉아있는 모양에서 연유함
"
6148,아척,⇒아적
4608,아홉,구릅. 소의 아홉 살
4916,아홉,소의 아홉 살. (이하(以下)스물까지 있음)
6296,아홉-물,여답물 다음날 조수
5821,악-동이,악바리
2001,악메,악마(惡魔)
2000,악살,무엇을 달라고 보챔
1999,악치,⇒말구래기
849,안 게,"게의 집게발 모양을 하고 있어 붙여진 이름 
"
3684,안-거리,안채
5024,안-공쟁이,안낚시걸이
3683,안-방,⇒고팡
5926,안-애오리,안쪽다리
3880,안-잠지,넓적다리 안쪽
3682,안-집,뒷골목집
3877,안-창,①내장(內臟). ②깊은 속
3876,안-칩,짐승 물고기 따위의 내장
3681,안-팡,⇒고팡
942,안돌오름,"돌이 많은 오름이나 밭돌오름과 구별하기 위해 붙여진 이름
"
5326,안반,방춧돌. 돌로 된것은 ‘돌안반’이라고 함
3126,안자리-쿨,풀이름(Ligu-laria Tagueti Nakai)
1296,안자리쿨,갯취
3879,안주외기,⇒손아우생이
3878,안주외기-손가락,둘째 손가락
