,name,contents
2405,나,나이
2400,나-찍,내깃. 내차례
6072,나그네,#NAME?
4900,나깨시리,무당 제사에 쓰는 통째로 된 시루떡
640,나끄(낚으)다,낚다.
2404,나끔-질,고기 낚기
2403,나는-물,#NAME?
6071,나닥사니," =노닥사니. 껑충 거리는 사람을 얕잡은 말
"
5579,나대,#NAME?
6070,나대-모로기,제 고집만 부리고 혼자 떠들기 잘하는 벙어리
638,나돋이다,달아나다.
2952,나록,벼
5229,나록-눌,낫가리. 볏가리
5111,나록-눌,낫가리
5137,나록-뫼,볏모
4289,나록-찍,#NAME?
4202,나록-찝,⇒나록찍
2951,나록-체,벼껍질
5228,나록-클,벼훑이
5273,나록-클,벼 훑는 틀
2960,나록고고리,벼 이삭
2869,나록졸래,벼 반쭉정이
2858,나록체,벼 껍질
4747,나롭,소의 네 살
4740,나롭,소의 네 살
4739,나롭-부룽이,네 살된 수소
4738,나롭-쇠,네 살된 소
639,나무래다,나무라다.
2402,나무램,나무람
4533,나부-복쟁이,나비 무늬가 있는 복의 한가지(먹지 아니함)
4421,나부복쟁이,나비. 무늬있는 복
2950,나분데,낟알이 여물지 아니한것
4737,나비," =납 =좃-나비. 잣나비
"
6069,나비-헤치,=납-헤치. 잣나비 해(申)에 난 사람. 원숭이 띠
5578,나새,나사
5577,나샛-못,나사못
2401,나시,#NAME?
4899,나찰,잡귀
5576,낚-베,낚시질하는 배(漁船)
5039,낚시-공쟁이,씨름의 낚시걸이
5575,낚시-아리,#NAME?
5574,낚시-알,#NAME?
4288,난독-낭,좀머귀나무
4201,난생이,#NAME?
6068,난쟁이,난장이
4287,난쟁이,⇒난생이
5136,난전,좋지 못한 밭
4200,난지,⇒난생이
3570,날-밥,#NAME?
6178,날-우치,비가 와서 날씨가 나쁜 것
2399,날굼-들굼,나아갈 구멍과 들어갈 구멍. 피할길
2398,날래,곡식을 볕에 말리는 것
637,날르다,나르다.
15,날봅서,여보시오
4286,남,#NAME?
5572,남-박,#NAME?
5419,남-박새기,목대야
3388,남-방에,나무 절구
3427,남-방에,#NAME?
6067,남-소나,남자. 사내
4199,남-소왕이,호랑이 가시(格木. 九骨)
4384,남-쇠,#NAME?
5768,남-신,나막신
5570,남-자,국자. 주걱
5569,남-죽,#NAME?
5227,남-테,조밭을 밟아 누르는 데에 쓰는 나무 통
5568,남-통,나무 담뱃대
6066,남-헤치,⇒나비헤치
3569,남남,냠냠이
5573,남놀개,사냥에 쓰는 연장
1421,남당,해신께 제를 지내는 곳
6177,남대미,음력 4월의 가문 날씨
4898,남선비,문전본(門前本) 무가(巫歌)의 주인공 되는 신 이름
5571,남송애기,홈을 파는 대패
2397,남제기,#NAME?
2396,남죽-질,죽저깨질
379,남직호다,남짓하다.
926,남짓은오름,"나무(남)가 무성하다(짓다)하여 연유
"
2395,남체기,⇒남제기
4285,남초,담배(南草)
4198,남총-낭,종려나무(棕櫚)
5567,남푸-등,#NAME?
5566,남푸-벙것,등. 갓
4743,납,나비
2949,납게,죽정이. 쭉정이
1667,납헤치,원숭이띠(申年生)
5565,낫,바다 속의 해초를 캐는 데에 쓰는 큰 낫
2394,낫-돈,잔돈
4284,낭,⇒남
4197,낭-거림,나뭇가지 자개미
5564,낭-공쟁이,물건을 거는데에 쓰는 나무못
4196,낭-곶,나무 숲
6065,낭-군,나무꾼
4282,낭-그르,#NAME?
4283,낭-께기,지저까비
4195,낭-대기,나뭇개비
4281,낭-덩체기,⇒낭그르
4194,낭-덩치,⇒낭덩체기
5563,낭-못,나무못
4193,낭-베설,나무 속
4279,낭-섬비,#NAME?
4278,낭-절,나뭇결
4192,낭-주적,#NAME?
4277,낭-주적이,⇒낭주적
4191,낭-주죽,⇒낭주적
2393,낭-칠,나무에 오르는것
4276,낭-토막,나무 토막
1328,낭갈레죽,"흙을 파서 헤치고 던지는 나무로 만든 가래
"
984,낭끼오름,"나무들이 서 있는 변두리라는 뜻에서 유래
"
4280,낭뎅이,대
1341,낭쟁반,"나무 접시 
"
5767,낭제,#NAME?
5562,낭푼,#NAME?
5561,낭푼-이,⇒낭푼
2392,낮-도체비,낮도깨비
5135,낮전-밭,반날 갈이
4190,내깔리,강에 흘러내린 낙엽
636,내두르다,휘두르다.
635,내불다,내버리다.
1289,내왓-당,"냇가의 밭에 위치한 신당
"
2391,내우살,#NAME?
2390,내움살,⇒내우살
2389,내움세,⇒내우살
2388,내중,나중
1068,내중-난-밧,"내중-난-밧	나중에 만들어진 밭
"
634,내치다," 뱉다(吐), 토악질하다."
2387,낵인,낙인(烙印)
2386,낵인-질,낙인질
5560,냄비,남비
6064,냄편,남편(男便)
6326,냇-고랑치,⇒고랑챙이
6325,냇-고비,물고비
6324,냇-골챙이,⇒고랑챙이
1065,냇각물,"하천의 끄트머리에 있다 하여 붙여진 이름
"
1067,냇붕리,"하천의 봉우리 같다 하여 붙여진 이름
"
633,냉기다,남기다.
6301,너-물,서물 다음날 조수
2382,너-찍,#NAME?
190,너그러이,너그럽게
1634,너내,#NAME?
1633,너네,⇒너내
6176,너댓-쇠,=너덧-쇠. 나달(4.5일)
6175,너덧-쇠,⇒너댓-쇠
4275,너덩,다랫넝쿨
2385,너러기,넓이
776,너른-걸,"걸은 돌멩이나 바닥돌로 이루어진 바다 밭을 의미하는 바다지명의 접미사이다. 그 지역이 넓어서 붙여진 이름
"
1202,너리,"평평한 바닥돌이 드넓게 펼처진 곳
"
189,너미,너무
5559,너벅-선,짐 운반에 쓰는 넓은 배
2384,너베기,#NAME?
2383,너부기,⇒너베기
188,너부작이,넓적하게
1167,너북-여,"둥굴넓적한 곳
"
5766,너붕-옷,#NAME?
4189,너삼,⇒고삼
1271,너솜,고삼
5765,너월,너울
4274,너출,⇒꿀
2381,넉,넋
5687,넉세-베,굵은 베. 석세로부터 o 답세까지 있음
2380,넉시,실지로 하지 아니하였으나 한 것으로 보게 된다는 뜻
935,넉시오름,"넋 나간 소가 누워있는 형국에서 유래
"
4897,넋-들이,몹시 놀랐을때 넋을 들이기 위하여 신에게 비는 것
632,넋들이다,넋을 되찾게 하다.
3758,널-마리,#NAME?
6063,널-손지,#NAME?
1004,넘나물,"비가 오면 물이 넘친다 하여 지어진 이름
"
631,넘어가다," 지나가다, 건너가다."
6174,넘은-돌,지난달
2379,넘은-일,지난일
6173,넘은-헤,지난해(昨年)
4273,넘피,#NAME?
4186,넙-곽,다시마
