,name,contents
4484,가개비,청개구리
2660,가남,①자력(資力). ②가늠
4917,가냐귀,가마귀
2659,가냥,#NAME?
4463,가다리,#NAME?
6350,가닥-섬,멀리 떨어진 외로운섬
4103,가달,#NAME?
5247,가달-석,굴레
4987,가달-석,굴레
2658,가달-춤,갈랙질
5152,가닷-담,거섶
1603,가두다,냄새나 연기 같은것이 사라지다. 숨이 끊어지다. 물이나 피 같은것이 흐르다가 그치다
5690,가락지,#NAME?
5689,가래기,⇒가락지
5246,가래죽,#NAME?
1009,가르메물,"사람 머리꼭대기 정수리처럼 생겼다 하여 연유한 이름
"
6349,가름,마을안의 구분된 거리
5151,가름-팥,부락 안에 있는 밭
1602,가리다,끝이 여러갈래로 갈라지다
1601,가리치다,잡아뜨려 눕히다. 엎어진 것을 근본대로 고쳐 놓다
5245,가린-석,밭갈 때 왼손에 잡는 고삐
5079,가린-석,밭갈 때 왼손에 잡는 고삐
2657,가림,사리
5003,가릿-당,본디 ‘개당’을 뜻하는 말인데 조천면 북촌(北村)의 당신(堂神)이 처음 나온곳이기도 함
3781,가릿-당,#NAME?
4335,가마귀-마께,가마귀 벼개
5646,가마귀-머림,닭집 지붕 그물
4552,가마귀-물꾸럭,불가사리
4253,가마귀-바농,#NAME?
4334,가마귀-숟가락,살마. 반하(半夏)
4252,가마귀-지장,#NAME?
1252,가마귀연줄,괭이밥
1211,가마귀오동남,까마귀베개
1318,가마귀웨줄,괴승아
2531,가마귀테,가마귀 떼
901,가마오름,"신령스러운 산이라는 뜻에서 유래
"
3452,가막-창신,여자 가죽신의 한 가지
4551,가막보리,섭조개
1087,가막여물,"검은빛의 여가 많아 붙여진 이름
"
1291,가막탈낭,검은딸기
5645,가매기,#NAME?
1118,가매물,"말이 목이 말라 물을 마시는 형국이라 하여 붙여진 이름
"
5644,가맹이,⇒가매기
5643,가맹이-테기,가마니때기
5642,가메1,가마(釜)
5641,가메2,#NAME?
1210,가메기낭,까마귀베개
1212,가메기멀리,까마귀머루
834,가문-다리,"가문는 가늘다의 뜻으로 외나무다리가 있었던 곳
"
1600,가물다(ㄹ변),#NAME?
389,가벱다,개뱁다. 가볍다.
1599,가불다(ㄹ변),닳다. 꽃이나 채소 같은 것이 다 떨어지다
4333,가세-축,#NAME?
903,가세오름,"산봉오리가 두 갈래로 갈라진것이 가위(가세)와 같아 유래
"
4918,가수리,무당제사에 아직 나오지 못하였던 신들을 대접하는 마지막 제사
4251,가스레기-낭,#NAME?
4332,가스르기-낭,⇒가스레기낭
4250,가스릉-낭,⇒가스레기낭
4331,가스새,#NAME?
5244,가슬-왈,검은 그루
4249,가승마,음양곽(淫羊藿). 삼지구엽초(三枝九葉草)>
6118,가시-아방,#NAME?
6117,가시-어멍,#NAME?
4246,가시-엄낭,엄나무
2791,가시-틀,산딸기의 한가지
6116,가시-할망,#NAME?
6115,가시-할아방,#NAME?
4102,가시-허물,#NAME?
4248,가시덤벌,가시덤불
4330,가시릉-낭,⇒가스레기낭
4329,가시리,풀가사리
1119,가시머리,"""소 등에 올려놓았던 질메/진매가지가 있는데 모양이 비슷하여 
 가지머리
 로불리다가 가시머리가 되었다""
"
3780,가시새,⇒가스새
4247,가시새,⇒가스새
1332,가시탈낭,가시딸기
4328,가시틀-낭,산딸기나무의 한 가지
4101,가심,가슴
6214,가온대,가운데
2656,가옷,가웃
1154,가운디-몰리,"양쪽은 평평하고 이곳에만 마루를 이룬 형상
"
1305,가자리,개자리
4245,가쟁이,#NAME?
4327,가젱이,⇒가쟁이
3451,가죽-감티,가죽으로 만든 방한모(防寒帽)의 한가지
3779,가지,집-가지=집-가제. 기스락
5640,가지깽이,#NAME?
