,name,contents
3708,사괘-맞춤,⇒고사리 맞춤
2105,사구망치,#NAME?
2104,사굼마치,⇒사구망치
2103,사그렛-거,상하기 쉬운 것
2102,사금바치,⇒사구망치
3358,사기-그릇,도깨그릇과 사기그릇의 총칭
2106,사깽이,#NAME?
1236,사남굿,"혼(魂)을 위로하는 굿
"
2101,사념,#NAME?
325,사노롱호다,서누룽호다. 사늘하다<서늘하다.
2100,사농,사냥
4646,사농-개,사냥개
5970,사농-바치,#NAME?
5863,사농-쟁이,⇒사농바치
2099,사님,⇒사념
5384,사다리,⇒다리
3203,사닥-낭,#NAME?
1346,사닥낭,생달나무
2896,사당-대죽,사탕수수
2933,사당대죽,사탕수수
5027,사대,⇒놀래
3357,사둘,자루있는 둥근 그물
2098,사둘-질,후림질
324,사락사락호다,① 깔깔하다. ② 물기가 없어 포근하다.
4645,사롭,소의 세 살
4748,사롭,소의 세 살
4681,사롭,삼수매(사릅)
4644,사롭-송애기,세 살된 송아지
3202,사룩-쿨,⇒댑싸리
2097,사를-메,살아 나갈 길
2096,사름-수질,인멀미
2095,사름-친명,사람. 명색
3926,사막,사마귀. 기미
3515,사발-떡,시루떡의 한가지 사발 모양이며 주로 신에게 기도할 때 씀
1089,사발통,"사발모양의 여에 샘이 난다 하여 붙여진 이름
"
4270,사상-벌,#NAME?
5383,사슬,#NAME?
2094,사슬-담,⇒보몰담
3201,사오기,#NAME?
3200,사옥-낭,⇒사오기
3356,사올-대,삿대
488,사위호다,사위 삼다.
4354,사장-벌,⇒사상벌
960,사제비오름,"새매(새잽이)가 서식하여 유래
"
3925,사투리,⇒눈사투리
5731,사포,모자. chapeau에서 온것
6156,사흘-날,사흗날
2093,삭,삯
3199,삭다리,삭정이(枯枝)
6273,산-ㅍ댕이,산비탈
4643,산-고냉이,⇒드릇고냉이
6278,산-굼부리,⇒굼부리
6277,산-내,산에서 갑자기 흘러내리는 내
6276,산-물,샘물
6275,산-발,산기슭
6274,산-봉대기,산꼭대기
2092,산-역시,산일
5969,산-쟁이,⇒사농바치
6272,산-좌전,#NAME?
2089,산-체,#NAME?
2088,산-터,⇒산체
4639,산-톳,멧돼지
2087,산-할망,삼할미
907,산굼부리,"구멍(굼), 산의 정상(부리)를 의미함
"
3924,산기,오줌소태
2895,산뒤,밭벼(山稻)
2866,산뒤졸래,밭벼 반쭉정이
323,산드랑호다,조금 사느랗다.
4642,산매,산말(山馬)
4797,산맥,#NAME?
2741,산물,귤의 한가지(橙)
1121,산물-어위,"생수가 나는 둘레
"
750,산물깍,"용천수가 나는 갯가
"
1426,산물남-우영,산귤나무가 있었다 하여 붙여진 이름
