,name,contents
5901,말젯-년," =말젯-똘. 셋째딸
"
862,모시-모루,"모시가 많이 나는 동산
"
4263,자-최,#NAME?
5655,자-치,자투리
4346,자-치,⇒자최
5222,자갈,재갈
3091,자구-낭,자귀나무(合歡木)
3090,자굴,차풀
3089,자록,#NAME?
4404,자리,자돔. 모양은 도미와 같으나 작고 길이 8cm정도
1125,자릿-여,"자리가 많이 모여드는 곳
"
1884,자부래기,쭈구렁이
3088,자오락,⇒자록
3087,자왈,잡목과 가시덤불이 있는 숲
6238,자왈,가시밭
1413,자운당,당이 왼쪽에 있는 동네
1883,자원,장원(壯元)
4146,자주와기,⇒역은아기
1882,자파리,장난
5312,작-박,얕은 나무박
2668,작멜,#NAME?
1881,작벡,자갈을 쌓은 벽
4145,작산-거,재껄거리기 잘하는 사람의 별칭
4144,작산-놈,#NAME?
5221,작쉬,작대기
4143,작제,⇒작산거
2667,작지,⇒작멜
1123,작지-왓,"작은 돌맹이가 많은 밭
"
1383,작지캐,자갈들이 많이 있는 해안가
3086,잔뒤역,#NAME?
5311,잘리1,⇒자록
5220,잘리2,#NAME?
5067,잠대,#NAME?
1880,잣,성(城). 돌을 많이 쌓은 담
448,잣다,줍다. 깁다.
3503,장-개미,⇒개미장
1876,장-밭,장지(葬地)
4779,장-빙애기,⇒수핑애기
2876,장-체,왕겨. 겉겨
5218,장-통,장 담는 그릇
5309,장-황,장독
1879,장게,장가
4929,장귀,①장기. ②장구(杖鼓)
5016,장귀-도래기,장기 짝
1221,장귀-돌레,"장고 모양의 작은 밭
"
4142,장남,작자
1878,장남-살이,⇒더살이
1877,장내기,⇒놀림
5219,장도리,구멍을 뚫는 연장
4141,장돌-뱅이,머슴. 인부(人夫)
3842,장미,긴 눈썹(長眉)
1875,장석,앓는 사람이 못견디어내는 소리
4928,장수-꼬녀,고누 이름
1124,장수원,"일대 바닷가에 천연지하수가 솟아나는 샘이 수십곳이 있어 붙여진 이름
"
4140,장쉬,장수(將帥)
4139,장시,장수(商人)
4403,장이,⇒붕에
4345,장콜래비,⇒①강베록2. ②독다구리1
5310,장태,장그룻. 대야
1170,장테,"양푼 모양으로 그보다 크게 만든 질그룻
"
