,name,contents
1434,(노랑) 허벅,"노란굴에서 구은  물동이
"
713,돌하르방,"(고유명사)돌할아버지 뜻
"
1081,하-논,"논이 많은 지역 / 지역의 명칭 
"
1697,하-찔,하낄(下等品)
1705,하간-거,#NAME?
2505,하간-디,#NAME?
2504,하간-사름,#NAME?
1704,하간-일,#NAME?
1703,하근-거,⇒하간거
2503,하근-디,⇒하간디
2502,하근-사름,⇒하간사름
1702,하근-일,⇒하간일
4774,하기-새,#NAME?
1078,하논-케,"""하논
 이 있는 지역""
"
6357,하놀,하늘
2993,하눌-애기,하눌타리
4337,하늘-강생이,땅강아지(土狗)
1701,하늘-님,하느님
4773,하늘-생이,⇒드릇생이
2501,하늘-옥황,옥황상제 있는 곳. 천국
2992,하늘-푸께,#NAME?
2991,하늘-푼철귀,⇒하늘푸께
2990,하늘-풀,풀이름. 잎은 쑥갓 비슷하고 여름철 백색의 작은 두상화(頭狀花)가 핌
6191,하늬,북(北)
965,하늬복이오름,"북풍(하늬바람)이 많이 부는곳에 있어 유래
"
717,하님,계집종
230,하다,많다.
4466,하등-이,#NAME?
4661,하등이,등이 들어간 말
4656,하등이,등이 들어간 소
716,하르바님,할아버지
2,하르방,할아버지
1700,하리,할인(割引)
715,하리비,할애비
2704,하리비-고장,할미꽃
2500,하릿-권,할인권(割引券)
4255,하막,비단개구리
3798,하매,입병
1699,하세,하시(下視). 나무람
229,하양호다,해양호다. 하얗다.
74,하영,많이.
2499,하외염,#NAME?
1698,하위염,⇒하외염
2498,하직,죽은 사람의 영에 대하여 작별의 배례를 하는 것
825,한-무덤-골,"많은 무덤이 있는 곳
"
6190,한-복반,한복판
2496,한-좀,깊은 잠
6220,한-죄기,제주도 북부에서는 음력9일과 24일. 남부에서는 8일과 23일의 조수인데. 간만(干滿)의 차가 가장 작은때
6219,한-질,큰 길
1695,한-통,한창 때. 한가운데
6189,한-통,한가운데. 한창때
6122,한-통,한창때
2497,한디,헛일
1696,한지,한데(露天)
876,한지내-콤,"내가 넓은 모양. 한지는 넓다 이고 콤은 일정지역을 나타냄
"
3797,한집,마마. 홍역
4828,한집,마을 수호신인데 ‘쉬멩이’라는 여자 신의 존칭
2989,한탈-낭,산딸기 나무의 한가지
228,한한호다,매우 많다.
4772,할기-새,⇒하기새
714,할마님,할머니
1,할망,할머니
4827,할망-날,할망신을 제사하는 날인데 셋과 일곱이 붙는 날
4826,할망-당,#NAME?
4825,할망-디,⇒할망당
4824,할망-상,할망신을 제사하기 위하여 차린 상
1126,할망물,"이 물의 민물새우를 잡아먹으면 출산시 고통이 덜하다 하여 붙여진 이름
"
1050,할미-개,"""할미
 는 만처럼 휘어져 들어간 작은 곳을 뜻함, 그런 포구""
"
5163,함,함주
2988,함박-쿨,풀이름. 일본어 subogusa
2703,함박-탈,딸기의 한가지(큰것)
2987,함박-푸께,땅꽈리의 한가지
6218,함수,짠물(鹹水). 해수(海水)
5257,합-체,가는 총체
2986,합순,개옻나무
3025,합순,개옻나무
803,합순-밧,"합순은 풀이 있는 밭, 어려운 시절 합순을 식용으로 범벅을 만들어 먹음 
"
871,항-통,"항아리 모양의 물통
"
6356,항고지,⇒상고지
3794,항긋,마마
2495,항폐,쓸데 없는 소모
2702,해래비-꼿,딱지꽃
802,행기-소,"기우제 지낼 때 제관들이 목욕하여 기우제 지내는 장소
"
986,행기소물,"샘의 모양이 밥사발 같고 물이 맑고 항상 고여있어 붙여진 이름
"
2985,향유초,⇒고요화
2984,허궁-고사리,⇒베염고사리
4823,허궁-애기,무속 신화의 주인공의 하나
2983,허금-고사리,⇒베염고사리
1694,허깽이,⇒사깽이
2494,허께,유령(幽靈)
227,허드렁호다," 헛되다, 진실성이 없다."
5647,허리-안게,부티
3793,허멀,#NAME?
1693,허멩이-문세,소용없는 문서
3792,허물-그르,⇒페적
2154,허물봉오지,부스럼끝
4822,허바-지옥,혀를 빼버리는 지옥
3791,허버레기-중버러기,중의 머리. 깍은 머리
5256,허벅,병 모양의 물동이
3790,허벅-다리,넓적다리
5006,허벅-장단,물도으이 장단
1417,허벅능생이,"씨앗 보관용 동이
"
1405,허벅망데기,"제주사람들이 가장 많이 애용했던 것으로 씨앗, 물, 탁주 등을 보관
"
1274,허벅이-동산,"거북이가바다쪽을 향하여 절하는 모양이라하여 붙여진 이름
"
226,허영호다,헤영호다=헤양호다<히영호다. 허옇다.
3789,허운데기,‘머리카락’을 얕잡은 말
2982,허웅-고사리,⇒베염고사리
2493,허장,담이 없는 곳
1314,허재비,"허수아비
"
1692,허제비,허수아비
2492,허주,나쁜 소문
1691,헉-밥,흙밥
4821,헌-당,허물어진 당
3605,헌-새,⇒그슨새
4820,헌벌,벌을 정하는 것
2491,헌톨매기,허털뱅이
1690,헐-금,헐한 값
2490,헐리,상처. 헌데
400,헐벗다," 입은 것을 벗다, 껍질을 벗다."
399,헐어지다,흩어지다.
1689,험벅,피륙 조각
6355,험벅-눈,함박눈
225,험상스럽다,꼴이 흉하다.
2844,헙되,⇒밀체
2489,헙헙-정,헛헛증
2701,헛-고장,열매 안 맺는 꽃
1688,헛-말,#NAME?
2488,헛-소리,⇒헛말
1687,헛-손,의식 없이 움직이는 손
2487,헛-입,쓸데 없는 말
1686,헛-질,보람 없는 길
2486,헛-짓,헛일
1685,헛-치기,거짓
6121,헤,해(太陽. 年)>
6354,헤,해(太陽)
6353,헤-돋이,해돋이
1684,헤-차귀,양지 바른 곳
6120,헤-천,온날(全日)
6217,헤각,(海角). 바다언덕
2700,헤바래기,해바라기
2485,헤복,해복(解腹)
224,헤삭호다,맨 것이 단단하지 않다.
4920,헤서,해서(楷書)
398,헤우다,헹구다.
1671,헤치1,허채(許採)
1682,헤치2,출생한 해를 간지(干支)로써 구별하는 것. 띠
6352,헷-갓,헷-머리. 햇무리
6351,헷-머리,⇒헷갓
2981,헹게,정가(荊芥)
5694,헹경,행전
5005,헹서,행서(行書)
1665,현용,⇒선용
1643,호;메,⇒히멩이
1642,호;미,⇒히멩이
386,호고정호다,하고자 하다.
1026,호근여물,"범의 아가리 형태의 여 근처에 있다 하여 붙여진 이름
"
385,호다,하다.
223,호되다,엄하다.
5162,호메선,서양 배의 범선(帆船). 일본어 homa-eseng(帆前船)에서 온 것
5255,호미,낫(鋤)
4919,호미-공쟁이,⇒덧머리
5048,호박-굿,호박구덩이
5138,호박-굿,호박 구덩이
3788,호박-대맹이,호박같이 큰 대가리
5693,호상-옷,수의(壽衣)
1664,호소,⇒호시
1676,호움-질,홈질
1663,호퉁이,큰 소리로 꾸짖는 것
5161,혹,⇒뱅이혹
1641,혼,한(恨. 限)
6119,혼-나절,한나절
6215,혼-물,북부에서는 음력10일과 25일 조수. 납무에서는 9일과 24일 조수
5046,혼-쇠역,하루 갈이
64,혼디," 한데, 함께"
5254,혼벡-상,혼백 상자
1640,혼소,한사(限死)
4959,혼숨-밭,한 숨에 갈수 있는 넓이가 되는 밭
63,혼저,어서
1675,혼정,혼령(魂靈)
789,혼착-밧,"한쪽 밭을 말함, 넓은 밭을 분할하여 자녀에게나누어 준 밭
"
62,혼참,한참
1639,혼탄,한탄(恨歎)
3787,홀-목,⇒장목
1662,홀독,(獨) 홀로독
1674,홈-댕이,#NAME?
3604,홈-마리,우물마루
5160,홈-미레,개탕
61,홈부로,함부로
60,홈치,①함께 ②애당초
5253,홉-사리,한 홉 들이 되
4677,홉아,구수매(아습)
1673,홋,홑(單)
1157,홍물,"항문처럼 샘이 있다 하여 붙여진 이름
"
59,홍상,항상
1638,홍애,⇒히멩이
1672,홍애,붉은 꽃
4397,홍에,홍어
1319,홍짓대,"홍두깨
"
