,name,contents
3471,차-임절미,#NAME?
5289,차경,큰 기구에 달린 자루. 구르마-차경. 방에-차경
5192,차뒤,⇒잘리
5288,차롱,⇒고량
5191,차롱-착,⇒차롱
5287,차세,⇒신차세
1764,착,짝
2564,착-글레기,짝짝이
5053,착-멕,#NAME?
4964,착-부지,⇒착멕
1763,착-비낌,책받침
2860,착-콩,짜개콩
5190,찰리,⇒잘리
2563,참봉,대감. 도깨비의 별칭
1762,참예,참여(參與)
5286,찻-장,찬장
2562,창,밑의 되는 부북. 바닥
1380,창-곰,창에 뚫린 구멍
3625,창-굼,창 구멍
3626,창-꼼,뙤창
3719,창-부출,창 테두리나무
3044,창-쿨,⇒돗수에
3043,창-풀,⇒물새
2463,창굼,창 구멍
3828,창아리,‘창자’를 얕잡은 말
3827,창지,⇒베설
3045,창쭐,삽주(창출. 백출)
706,처가칩,"처갓집
"
3624,처나반,반자
3042,처남상,천남성
1759,처데,짓
420,처밀다,힘차게 밀다.
419,처받다,치받다.
705,처아주마님,"처형
"
704,처아주망,"처제
"
5012,척,책(冊)
5285,척-갑,책감. 책궤
3623,척-방,책방
5189,척-상,책상
4487,척갑-복쟁이,육각복. 책갑 모양인데 먹지 아니함
4508,척갑복쟁이,책갑 모양의 복
2559,척실,관원의 벗
3826,천-징,천식(喘息)>
2713,천도실,하늘에 있다는 신선이 먹는 복숭아(天桃實)
1186,천리,"묘를 옮기는 것(移墓)
"
5284,천리통,망원경
80,천성,언제나.
893,천아오름,"상수리나무(초낭)이 있어 유래함
"
4838,천왕-보살,(天皇菩薩). 첫 번째 보살
4837,천왕-불도,(天皇佛道). 불교
1758,천제,천자문(千字文)
6229,천지-소,음력 8.9일쯤의 조수
4836,천지왕,저승 신 이름
2558,천추,지체(遲滯)
4925,천필,철필
5011,천필-봉,철필 촉
5188,철-궤,쇠지레
5283,철-메,쇠메
5187,철죽-대,부처님의 지팽이(天笠대)
703,첩각씨,"첩
"
3470,청,꿀
3469,청-묵,청포
4338,청-벌,꿀벌
3040,청-쿨,풀 이름. 일본어tobosigara
5186,청-통,꿀통
3622,청방,안 마루방
4924,청에,앙감질
3041,청조-쿨,망초
1214,청조쿨,김의털아재비
3468,체,생 채소를 간 맞추어 만든 것
1757,체얌,처음
938,체오름,"키(푸는체) 모양으로 생겼다 하여 유래
"
2557,체족,최촉
4835,첵귀,잡귀
6125,쳇-날,첫날
5282,쳇-대,#NAME?
3039,쳇-동지,첫꽃맺이
5185,쳇-망,쳇바퀴
3621,쳇-방,마루방과 부엌 새에 있는 작은 마루
1756,쳇-번,첫 번
5281,쳇-사왈,⇒쳇대
2556,쳇-일,첫일
833,쳇대-왓,"촛대를 하나 만들어 주고받은 밭이라 하여 불려짐 
"
957,쳇망오름,"쳇바퀴(쳇망) 모양이라 하여 유래
"
5184,쳉-빗,참빗
3620,초-막,띠로 인 오막
4910,초-적다,모시갈기. 모시총이 있는 담적색 말(淡赤色馬)
3619,초-집,초가집
244,초근호다,차근차근하다.
3038,초기,표고버섯
417,초다,차다.
242,초다²,짜다.
241,초다³,차다(寒).
243,초다¹,차다(滿).
3037,초때역,풀이름(Sporobolusindicus]
702,초라니,"촐람생이. 행동이 빠르고 기괴한 사람의 별칭
"
247,초랍다," 떫다, 초 맛 같다."
1746,초레,①차례. ②벌(친척 관계). ③줄. ④섟
1755,초력,#NAME?
2555,초리1,⇒초력
1754,초리2,표류(漂流)
4,초마,초마-고라=초마-고라. 아니원
5052,초물,맏물
3036,초석-새,자리 만드는데에 쓰는 띠
3,초싱,정말. 의심할 때 행여나 될까 하고 추측하는 뜻을 나타내는 말
6124,초싱,초생
4573,초적다,모시갈기 모시총이 나는 담 적색 말(淡赤色馬)
240,초지다,차지다.
2554,촉-소리,까딱소리
2712,촉교화,⇒가지깽이고장
6228,촌,시골
1745,촌-말,자긍하는 말
2662,촌-물,짠물. 바닷물
2544,촌-솔,찬살
1744,촌-일,하루 찬 일. 어른 한사람일
1753,촌-테,시골태도
701,촌놈,"시골뜨기
"
239,촌촌호다²," 찬찬하다, 천천하다."
3035,촐,꼴
4963,촐-눌,꼴 데미
5051,촐-바리,꼴을 마소에 실은 것
2553,촐-새김,새김질(反芻)
700,촐군,"촐-놉. 목초를 수확하는 일군
"
79,촐라리,차라리.
699,촐람생이,"초라니. 행동이 빠르고 기괴한 사람의 별칭
"
698,촐래기,"깡똥깡똥 돌아다니는 행동이 경솔한 사람.
"
416,촐리다,차리다.
415,촘다,참다.
774,촘생이-케,"촘생은 목초, 목초가 많았던 넓은 지역
"
4962,총-거름체,굵은 총체
5280,총-배,타락줄
5183,총-뽀롱이,⇒사슬
4560,총-아락쇠,총알락소(尾部白)
3825,총각,땋아서 늘인 머리
3824,총대기,#NAME?
3823,총대기-꼴리,⇒총대기
3822,총두기,⇒총대기꼴리
1752,최,초(洋燭)
5010,최서,초서(草書)
4559,추-가라,다갈색(茶褐色)을 띤 검은 말
4770,추-가라,다갈색 말(茶褐色馬)
3618,추년,추녀
3617,추년-서리,충혀
5279,추니,항아리. 동이
4909,추마,회색 말 (灰色馬. 焦馬)
3032,추승,⇒수승
246,추접스럽다,추잡스럽다.
245,추접호다,추저분하다.
3616,축-담,벽담
5182,춘,⇒추니
1751,출물,행사때에 제공하는 음식물
2552,출물-상,행사때에 음식을 제공하는 상
3821,춤,⇒꿈
3031,취-쿨,개질경이
5278,치1,키(舵)
5181,치2,#NAME?
418,치돋이다,치닫다.
2551,치리-단장,치레단장
5703,치메,치마
1750,치분,치약
3030,치비-숙,제비쑥
2711,치지,치자
3029,치지-낭,치자나무
2550,치지레기,⇒찌끄레기
1749,칙,칙서(勅書)
3615,칙-간,⇒돗통
4834,칙간-동티,주당
1184,칙도부인,"측간을 관장하는 신
"
5277,친,끈. 갓-친. 문-친. 주멩기-친
3028,칠-낭,⇒옻칠낭
3023,칠비,부들(香蒲)
4833,칠성,#NAME?
4832,칠성-부군,⇒칠성
3465,침-떡,설기. 조설기
2549,칭,충(層)
2547,칭-돌,⇒칭겁돌
1748,칭겁,#NAME?
2548,칭겁-돌,#NAME?
1747,칭계,⇒칭겁
