,name,contents
1200,누-알,"망을 보던 누각 아래 낮은 해변을 누알이라함
"
1130,드렛물,"이 일대에 샘이 있어 연유한 이름
"
3245,또낭-풀,끈끈이
532,또다,①때리다 ②부수다.
6168,마,장마. 장마 곰팡이
6311,마-누,여름철 남쪽 바다에서 밀려오는 물결
2288,마-붙림,곰파이를 볕과 바람에 말리는 것
6167,마가지,곡식 심은 뒤 가무는것
3746,마가지,#NAME?
5748,마고지,마고자
847,마근-물,"저수지 물이 합류되는 지점, 마근는 막다를 뜻함
"
5447,마께,방망이. 방추
1261,마께낭,마가목
2820,마농,#NAME?
2819,마농-대,종대
2818,마농-뎅가리,파 밑둥
3444,마농-적,파 산적
3544,마농-지이,⇒대사니짐치
2817,마눌,⇒마농
2289,마니-질,#NAME?
1285,마령아,계요등
3745,마리,⇒널마리
966,마복이오름,"남풍(마파람)이 많이 부는 곳에 있어 유래
"
1268,마불림제,"장마가 끝난 뒤에 습기로 인한 곰팡이 등을 싯으려는 당신의 신의청소제의. 음력 7월에 행해지는 당굿의 하나임
"
898,마오름,"산이 말 형체를 하고 있어 유래
"
3423,마옴," =마옴-석 =마함 =몰-마음 말고삐. 굴레
"
5445,마옴-석,⇒마옴
801,마장-밧,"자신의 밭에 마를 가두어 방목하던 곳
"
5905,마짐-짝,상대자. 일을 하는데 보조를 맞출만한 사람
6011,마차-쟁이,달구짓군을 얕잡은 말
5904,마찻-군,달구짓군
568,마치다,#NAME?
567,마트(맡으)다²,맡다.
5684,마페,#NAME?
780,마풀림,"풀들이 무성하게 자라는 곳
"
767,마풀림동산,"본향제인 마풀림제를 지낼 때, 신의 의복을 내걸어 말렸다는 터
"
3422,마함,⇒마옴
163,막," ①아주, 썩 ②막상"
2287,막,막내. 마지막. 뿐
50,막 일,마지막 일
3993,막-니,마지막 이
2286,막-담,#NAME?
6010,막-동셍,막내동생
5903,막-동이,막내둥이
2285,막-말,⇒막담
2816,막-물,채소의 마지막 수확물
5100,막-물,끝물
6310,막-물,제주도 북부에서는 음력 매달 일과 22일. 남부에서는 6일과 21일의 조수인데. 북부에서는 ‘열서물’. 남부에서는 ‘아끈조기’ 라고도 함
6009,막-쉬,⇒귀마구리
5902,막-아돌,막내아들
2284,막-일,관혼상제들의 마지막 일
1258,막개낭,곰의말채
5444,막댕-이,막대. 채찍
49,막동이,막내동이
2815,막물오,마지막 오이
2814,막물호박,마지막 호박
3744,막사리,⇒마가지
162,막상," 기껏, 고작, 한껏"
3992,막은-창,맹장(盲腸)
6309,막은-창,막다른 골
3285,만년초,⇒개반초
3443,만뒤,#NAME?
1024,만물,"근처 바닷가 일대가 조그마한 만을 형성하고 있어 붙여진 이름
"
2283,만서,만장(挽章)
3991,만축," =말축. ①사마귀. 쥐 젖. ②메뚜기 따위의 총칭
"
4365,만축," =말축. ①메뚜기 따위의 총칭. ②사마귀. 쥐젖
"
2282,만톡,풀잎의 독
2281,말-말,이런말 저런말
6008,말-모래기,모로기=버버리=버부와리. 벙어리
2280,말-미,귀신에게 기도하는 말
2279,말-쑤,말씨
5120,말-지기,마지기(斗落)
1264,말명,"심방들의 입에서 나오는 점괘 등을 일컫는다
"
1070,말물,"지형이 곡식을 담는 말(斗)의 모양과 같다 하여 붙여진 이름
"
48,말젯,넷 중 셋째의 인류 관계
44,말젯 똘,셋째 딸
46,말젯 아덜,셋째 아들
45,말젯 집,셋째 집
6006,말젯-놈,세째 놈
5898,말젯-똘,⇒말젯년
6004,말젯-사위,세째 사위
5897,말젯-삼춘,계부(季父)
6003,말젯-상제,세째 상제
5896,말젯-아돌,셋째 아들
47,말젯삼춘,셋째 삼촌
2278,말쩨,끝. 다음
3990,말축,⇒만축
4377,말축,⇒만축
892,말축-밧,"지형이 말의 다리 같은 지형
"
3421,말치,큰 솥
3989,말치-데맹이,큰 대가리
1259,말코지집,"하루 사이에 짓고 입주하는 집
"
5442,말툭,말뚝
6308,망-동산,외적(外敵)에 대한 감시소가 있는 높은 곳
5747,망근,망건(網巾)
1073,망냉이-왓,"막내아들이 살았던 곳이 있는 밭
"
3419,망대기,작은 항아리
1260,망보는-돌,"망보는-돌	소나 말을 방목할 때 망을 보았던 곳
"
566,망보다,감시하다.
5441,망시리,둥근 그물에 테를 달아 해녀 작업에 쓰는 물건
6002,망싱,마지막 낳은 것
3418,망울,마소의 입을 막는 통(桶) 모양의 그물
2277,망이-질,⇒마니질
5099,망탱이,#NAME?
2276,맞-전,맞돈
565,맞초다,①맞추다. ②약혼하다.
564,맞히다,쏘아 맞게 하다.
