,name,contents
6319,따,땅
4531,딱살,⇒닥살
4719,땅-강생이,발바리
2772,땅-꼿,채송화
2939,땅-콩,낙화생(落花生)
2940,땅골리,밭벼의 병이름
5538,땅곽,성냥의 한 가지. 돌에 마찰하여도 발화함
6037,땅깜-보,땅딸보
2346,때,=때-먹을때 . 끼니때
2345,때-먹을때,⇒때
4469,떠렁-쇠,투구풍뎅이
6034,떡-부,떡보. 떡충이
3561,떡-빗,설기를 가른 것
3312,떡-정당,⇒고냉이풀3
3311,떡-정동,⇒떡정당
3755,떡-칩,떡집
2328,떼,#NAME?
2326,떼-거지,#NAME?
2325,떼-걱지,⇒떼거지
2327,떼-깔,겉에 윤이 나는것
2324,떼-제기,⇒떼거지
6030,뗑뗑-이,#NAME?
4890,또,무속에서 신(神)을 일컫는 것
4012,또-꼬망,똥구멍
164,또똣이,따뜻이
175,똑,꼭
5906,똘,딸
6012,똘-님,따님
584,똘라내다,#NAME?
569,똘르다²,뚫다.
2307,똥-굿,똥덩어리
4367,똥-버렝이,똥구더기
4807,똥-소레기,#NAME?
4806,똥-소로기,⇒똥소레기
6021,똥-쌔기,똥싸기
6019,똥-피기,방귀장이
3294,똥꼬리,⇒도꼬리
4805,뚜럼,두루미
5035,뛸-락,뜀박질
170,뜨근뜨근,①천천히 ②뜨거운 꼴
2297,뜨집,의향(意向)
5104,뜬-밭,흙이 퍼석퍼석한 밭
6015,뜬-밭갈쇠,⇒느렁테
4694,뜬-부렝이,#NAME?
4693,뜬-부룽이,⇒뜬부렝이
5909,뜬-부룽이,⇒뜬밭갈쇠
2295,뜸,틈을 만들기 위하여 사이에 넣는 것
583,띄우다," 뜨이다, 사이를 뜨이다."
6013,띵띵-이,⇒뗑뗑이
